Income_source,Savings_habits,Borrowing_status,Financial_education,Age,Gender,Marital_status,Educational_level,Geographic_location,NIDA_number,Smartphone_ownership,has_bank_account
farmers and fishers,no,no,False,17,male,singlenever married,primary completed,rural,no,no,one account
dependents,yes,no,False,21,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,28,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,22,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,37,male,divorcedseparated,primary completed,rural,no,yes,one account
formal sector salaried,yes,no,True,29,male,marriedliving together,some university or other higher education,rural,yes,yes,one account
piece workcasual labor,no,no,False,28,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,22,male,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,no,yes,False,71,male,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,no,False,22,female,marriedliving together,primary completed,rural,no,no,one account
informal sector salaried,yes,no,True,39,male,marriedliving together,university or higher education completed,dar es salaam,yes,yes,one account
formal sector salaried,yes,yes,True,42,female,marriedliving together,university or higher education completed,dar es salaam,no,yes,two or three accounts
piece workcasual labor,yes,yes,True,25,male,singlenever married,university or higher education completed,other urban,no,yes,two or three accounts
welfare,yes,yes,True,58,male,marriedliving together,primary completed,other urban,yes,no,one account
piece workcasual labor,no,yes,False,40,male,marriedliving together,primary completed,other urban,yes,no,two or three accounts
farmers and fishers,yes,no,False,70,female,widowed,some primary,other urban,no,no,one account
piece workcasual labor,yes,yes,True,48,female,divorcedseparated,some primary,other urban,no,no,one account
dependents,yes,no,False,28,female,marriedliving together,primary completed,other urban,yes,no,one account
dependents,no,no,False,31,female,marriedliving together,some primary,other urban,yes,no,one account
dependents,no,no,True,21,female,singlenever married,some university or other higher education,other urban,yes,no,one account
farmers and fishers,no,yes,False,48,male,marriedliving together,no formal education,other urban,no,no,one account
traders  nonagricultural,yes,yes,False,27,male,marriedliving together,some secondary,other urban,no,no,one account
farmers and fishers,yes,no,False,58,male,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,yes,yes,False,37,male,marriedliving together,no formal education,other urban,no,no,one account
welfare,yes,no,True,16,female,singlenever married,some primary,other urban,no,no,one account
farmers and fishers,no,yes,False,44,male,marriedliving together,some primary,other urban,no,no,one account
piece workcasual labor,no,yes,False,48,female,marriedliving together,primary completed,other urban,yes,no,one account
traders  nonagricultural,yes,no,False,27,female,marriedliving together,secondary competedo level,other urban,yes,yes,one account
piece workcasual labor,no,yes,False,40,male,marriedliving together,no formal education,other urban,no,no,one account
farmers and fishers,no,yes,False,29,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,no,yes,False,43,male,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,yes,no,False,59,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,yes,yes,False,28,female,marriedliving together,some secondary,other urban,no,no,one account
traders  nonagricultural,no,no,False,57,female,marriedliving together,primary completed,other urban,no,no,one account
other,no,yes,False,46,female,marriedliving together,secondary competedo level,other urban,no,no,one account
service providers,yes,yes,True,33,male,marriedliving together,secondary competedo level,other urban,yes,no,one account
dependents,yes,no,False,75,female,marriedliving together,primary completed,other urban,no,no,one account
rental income,yes,yes,True,53,female,marriedliving together,primary completed,other urban,no,yes,one account
pension,no,yes,True,86,male,marriedliving together,some primary,other urban,no,no,one account
rental income,yes,no,False,63,female,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,yes,no,False,59,female,widowed,primary completed,other urban,no,no,one account
service providers,yes,yes,False,48,male,singlenever married,primary completed,other urban,no,no,one account
farmers and fishers,no,no,False,47,female,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,no,yes,False,55,male,divorcedseparated,primary completed,other urban,no,no,one account
traders  nonagricultural,yes,no,True,54,female,marriedliving together,primary completed,other urban,no,yes,one account
rental income,yes,no,False,81,male,marriedliving together,no formal education,other urban,no,no,one account
farmers and fishers,no,yes,False,50,female,marriedliving together,primary completed,other urban,yes,no,one account
piece workcasual labor,yes,no,False,61,male,marriedliving together,primary completed,other urban,yes,no,one account
dependents,no,no,False,63,female,marriedliving together,some primary,other urban,yes,no,one account
dependents,no,no,False,56,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,yes,no,False,62,female,widowed,primary completed,other urban,no,no,one account
piece workcasual labor,yes,no,False,53,female,marriedliving together,primary completed,other urban,no,no,one account
informal sector salaried,yes,yes,False,42,male,marriedliving together,primary completed,other urban,yes,no,one account
farmers and fishers,yes,yes,False,25,female,marriedliving together,primary completed,other urban,no,no,one account
traders  nonagricultural,no,no,False,66,male,marriedliving together,primary completed,other urban,yes,no,one account
dependents,no,no,False,48,female,marriedliving together,primary completed,other urban,yes,no,one account
welfare,yes,yes,False,71,female,widowed,no formal education,other urban,no,no,one account
farmers and fishers,no,no,False,25,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,no,yes,False,32,male,divorcedseparated,secondary competedo level,other urban,no,no,one account
dependents,no,yes,False,29,female,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,yes,no,False,45,female,divorcedseparated,some primary,other urban,no,no,one account
farmers and fishers,no,yes,False,51,male,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,no,no,False,70,female,marriedliving together,some primary,other urban,no,no,one account
traders  nonagricultural,yes,yes,False,56,male,marriedliving together,primary completed,other urban,yes,no,one account
pension,yes,yes,False,59,male,marriedliving together,post primary technical training,other urban,no,no,one account
traders  nonagricultural,no,yes,False,47,male,marriedliving together,primary completed,other urban,no,no,one account
dependents,no,no,False,20,female,singlenever married,primary completed,other urban,no,no,one account
dependents,no,no,True,19,male,singlenever married,secondary competedo level,other urban,no,no,one account
piece workcasual labor,no,no,True,42,male,marriedliving together,primary completed,other urban,yes,no,one account
farmers and fishers,no,yes,False,76,female,widowed,some primary,other urban,no,no,one account
piece workcasual labor,no,no,False,39,male,marriedliving together,some primary,other urban,no,no,one account
farmers and fishers,no,no,False,34,female,singlenever married,primary completed,other urban,no,no,one account
traders  nonagricultural,yes,no,False,30,male,singlenever married,primary completed,other urban,yes,no,one account
service providers,yes,no,True,23,female,singlenever married,university or higher education completed,other urban,no,yes,one account
farmers and fishers,no,no,False,47,female,widowed,primary completed,other urban,no,yes,one account
dependents,no,no,False,25,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,yes,no,False,25,female,marriedliving together,primary completed,other urban,no,yes,one account
formal sector salaried,yes,no,False,22,female,singlenever married,secondary competedo level,other urban,no,no,one account
farmers and fishers,no,yes,False,31,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,False,34,female,marriedliving together,primary completed,other urban,no,no,one account
traders  nonagricultural,yes,yes,False,49,female,divorcedseparated,no formal education,other urban,no,no,one account
service providers,no,no,False,65,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,no,no,False,47,male,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,True,45,female,widowed,primary completed,other urban,yes,no,one account
traders  nonagricultural,yes,no,False,41,female,divorcedseparated,primary completed,other urban,no,no,one account
farmers and fishers,no,yes,False,54,female,divorcedseparated,some primary,other urban,yes,no,one account
piece workcasual labor,yes,yes,False,45,female,divorcedseparated,primary completed,other urban,yes,no,one account
piece workcasual labor,yes,yes,False,27,male,singlenever married,secondary competedo level,other urban,no,no,one account
dependents,no,no,False,83,female,widowed,no formal education,other urban,no,no,one account
farmers and fishers,no,yes,False,39,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,no,no,False,23,female,singlenever married,secondary competedo level,other urban,yes,no,one account
farmers and fishers,yes,yes,False,73,male,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,False,73,female,widowed,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,False,41,female,widowed,primary completed,other urban,yes,no,one account
dependents,no,no,False,18,female,singlenever married,some secondary,other urban,no,no,one account
farmers and fishers,yes,yes,False,25,female,marriedliving together,some secondary,other urban,no,yes,one account
dependents,no,no,False,17,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,yes,no,False,59,male,marriedliving together,secondary competedo level,other urban,no,no,two or three accounts
piece workcasual labor,yes,no,False,33,female,marriedliving together,primary completed,other urban,no,no,one account
service providers,no,no,False,32,female,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,yes,no,False,53,female,marriedliving together,some primary,other urban,no,no,one account
piece workcasual labor,no,no,False,42,male,marriedliving together,some secondary,other urban,no,no,one account
traders  nonagricultural,no,no,False,51,female,widowed,primary completed,other urban,yes,no,one account
dependents,yes,no,False,46,female,divorcedseparated,primary completed,other urban,no,no,one account
dependents,yes,yes,False,27,female,marriedliving together,primary completed,other urban,no,yes,one account
traders  agricultural products,no,no,False,40,female,marriedliving together,primary completed,other urban,yes,no,one account
dependents,no,no,False,29,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,42,female,widowed,primary completed,rural,no,no,one account
dependents,no,no,False,23,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,33,female,divorcedseparated,no formal education,rural,no,no,one account
dependents,no,no,False,45,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,43,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,78,female,divorcedseparated,no formal education,rural,no,no,one account
dependents,yes,yes,False,48,female,divorcedseparated,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,38,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,66,male,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,46,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,48,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,20,male,singlenever married,primary completed,rural,no,yes,one account
farmers and fishers,yes,yes,False,65,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,42,female,marriedliving together,primary completed,rural,no,yes,one account
piece workcasual labor,yes,no,False,48,female,divorcedseparated,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,59,male,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,no,yes,False,20,male,singlenever married,no formal education,rural,no,no,one account
dependents,yes,no,False,69,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,19,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,38,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,30,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,42,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,60,female,widowed,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,45,female,widowed,primary completed,rural,yes,no,one account
dependents,yes,yes,False,44,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,60,female,widowed,some primary,rural,yes,no,one account
dependents,no,no,False,77,female,widowed,some primary,rural,no,no,one account
dependents,no,no,False,74,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,46,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,18,female,singlenever married,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,35,male,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,no,False,66,female,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,yes,yes,False,23,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,38,male,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,57,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,77,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,55,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,50,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,50,female,widowed,no formal education,rural,yes,no,one account
traders  nonagricultural,yes,no,False,58,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,50,male,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,yes,True,24,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,50,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,20,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,True,58,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,50,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,43,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,20,male,marriedliving together,some primary,rural,no,no,one account
informal sector salaried,yes,yes,True,46,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,29,female,divorcedseparated,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,43,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,46,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,38,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,yes,False,24,female,marriedliving together,primary completed,rural,no,no,one account
traders  agricultural products,yes,yes,False,41,female,marriedliving together,primary completed,rural,no,yes,one account
dependents,no,no,False,51,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,55,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,21,male,divorcedseparated,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,64,female,marriedliving together,some primary,rural,no,no,one account
dependents,no,no,False,45,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,66,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,30,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,47,male,divorcedseparated,primary completed,rural,yes,no,one account
dependents,no,no,False,82,female,widowed,no formal education,rural,no,no,one account
dependents,no,no,False,75,male,divorcedseparated,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,45,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,34,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,yes,False,65,male,widowed,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,21,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,33,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,40,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,yes,yes,False,51,female,marriedliving together,some primary,rural,no,no,one account
dependents,yes,no,False,44,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,21,male,singlenever married,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,33,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,31,male,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,yes,False,50,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,24,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,yes,no,True,29,female,marriedliving together,primary completed,rural,no,yes,one account
farmers and fishers,yes,yes,False,34,male,marriedliving together,primary completed,rural,no,no,one account
welfare,no,no,False,54,female,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,57,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,46,female,divorcedseparated,primary completed,rural,no,no,one account
formal sector salaried,no,no,False,17,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,20,female,marriedliving together,no formal education,rural,no,no,one account
traders  nonagricultural,no,no,False,34,female,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,20,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,36,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,46,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,32,female,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,no,yes,False,50,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,51,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,28,female,marriedliving together,secondary competedo level,rural,no,no,one account
piece workcasual labor,yes,yes,False,38,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,41,male,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,yes,yes,False,17,male,singlenever married,some primary,rural,no,yes,one account
farmers and fishers,no,no,True,50,female,divorcedseparated,primary completed,rural,no,no,one account
dependents,no,no,False,42,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,41,female,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,yes,no,False,41,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,42,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,95,female,widowed,no formal education,rural,no,no,one account
service providers,yes,yes,False,45,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,38,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,32,female,divorcedseparated,no formal education,rural,no,no,one account
rental income,no,no,False,19,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,40,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,41,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,64,male,widowed,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,22,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,41,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,44,male,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,48,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,29,female,marriedliving together,primary completed,rural,no,yes,one account
piece workcasual labor,no,no,False,49,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,25,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,25,female,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,no,False,46,male,marriedliving together,some primary,rural,yes,no,one account
farmers and fishers,no,no,False,28,male,marriedliving together,secondary competedo level,rural,no,no,one account
dependents,no,no,False,54,female,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,80,male,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,28,female,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,yes,False,26,male,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,84,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,50,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,51,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,51,male,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,no,yes,True,38,male,marriedliving together,primary completed,rural,yes,yes,one account
piece workcasual labor,no,no,False,74,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,63,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,True,30,male,divorcedseparated,secondary competedo level,rural,no,yes,one account
dependents,no,no,False,49,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,42,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,58,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,35,male,marriedliving together,some primary,rural,no,no,two or three accounts
dependents,yes,yes,True,18,female,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,yes,False,22,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,yes,True,59,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,33,female,divorcedseparated,primary completed,rural,no,no,one account
dependents,no,no,False,33,female,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,yes,False,76,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,58,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,30,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,28,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,38,male,marriedliving together,primary completed,rural,yes,no,one account
service providers,yes,no,False,36,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,26,female,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,no,False,20,female,divorcedseparated,primary completed,rural,no,no,one account
traders  nonagricultural,yes,yes,False,34,male,marriedliving together,some primary,rural,yes,no,one account
informal sector salaried,yes,no,False,22,male,singlenever married,secondary competedo level,rural,no,yes,one account
pension,no,yes,False,73,male,marriedliving together,secondary competedo level,rural,yes,no,one account
dependents,yes,yes,False,26,female,marriedliving together,secondary competedo level,rural,no,no,one account
dependents,no,yes,False,38,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,yes,False,41,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,27,female,marriedliving together,no formal education,rural,yes,no,one account
piece workcasual labor,yes,yes,False,34,female,divorcedseparated,primary completed,rural,yes,no,one account
piece workcasual labor,no,yes,False,37,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,36,female,divorcedseparated,primary completed,rural,yes,no,one account
piece workcasual labor,no,no,False,46,male,marriedliving together,some primary,rural,no,no,one account
service providers,yes,no,False,27,female,marriedliving together,secondary competedo level,rural,yes,no,one account
service providers,yes,no,False,62,female,widowed,some primary,rural,no,no,one account
other,yes,yes,False,32,female,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,18,male,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,30,male,marriedliving together,some primary,rural,yes,no,one account
piece workcasual labor,no,no,False,45,male,singlenever married,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,31,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,37,male,marriedliving together,primary completed,rural,no,no,one account
rental income,yes,no,True,34,female,marriedliving together,secondary competedo level,rural,no,yes,one account
farmers and fishers,no,no,False,41,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,46,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,41,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,67,female,singlenever married,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,48,female,divorcedseparated,primary completed,rural,no,no,one account
