age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
19,private,10,never-married,prof-specialty,own-child,white,male,0,0,32,united-states,0
31,private,13,separated,sales,own-child,black,female,0,0,40,united-states,0
29,self-emp-not-inc,13,married-civ-spouse,sales,husband,white,male,0,0,70,united-states,1
23,private,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,0
79,private,10,married-civ-spouse,prof-specialty,other-relative,white,male,0,0,20,united-states,0
27,private,9,never-married,other-service,own-child,white,male,0,0,40,mexico,0
40,private,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,0
67,unknown,6,married-civ-spouse,unknown,husband,white,male,0,0,2,united-states,0
18,private,7,never-married,other-service,own-child,white,female,0,0,22,united-states,0
31,local-gov,4,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,0
18,private,9,never-married,sales,not-in-family,white,male,0,0,30,united-states,0
52,private,13,married-civ-spouse,other-service,husband,white,male,0,0,40,cuba,0
46,private,9,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,0
59,private,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,0
44,private,9,divorced,craft-repair,not-in-family,white,female,14344,0,40,united-states,1
53,private,9,divorced,sales,own-child,white,female,0,0,35,united-states,0
49,local-gov,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,1
33,private,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,0
30,private,5,never-married,sales,not-in-family,white,male,0,0,40,united-states,0
43,federal-gov,16,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,1
57,private,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,0
37,private,10,divorced,craft-repair,unmarried,white,female,0,0,40,united-states,0
28,private,10,divorced,machine-op-inspct,unmarried,black,female,0,0,25,united-states,0
30,private,9,married-civ-spouse,sales,wife,asian-pac-islander,female,0,1573,35,unknown,0
34,local-gov,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,1
29,local-gov,10,never-married,handlers-cleaners,not-in-family,white,male,0,0,50,united-states,0
48,self-emp-not-inc,16,married-civ-spouse,prof-specialty,husband,white,male,0,1902,60,united-states,1
37,private,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,1
48,private,12,divorced,exec-managerial,unmarried,white,female,0,0,40,england,0
32,federal-gov,9,never-married,other-service,own-child,black,male,0,0,40,united-states,0
76,private,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,1
44,private,13,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,1
47,self-emp-not-inc,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,0
20,private,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,0
29,private,9,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,0
32,self-emp-inc,9,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,1
17,unknown,6,never-married,unknown,own-child,white,female,34095,0,32,united-states,0
30,private,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,0
31,local-gov,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,0
42,private,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,0
24,private,13,never-married,sales,other-relative,white,male,0,0,40,united-states,0
38,private,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,1
56,self-emp-not-inc,9,married-civ-spouse,other-service,husband,white,male,0,1887,50,canada,1
28,private,10,married-civ-spouse,sales,wife,white,female,4064,0,25,united-states,0
36,private,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,0
53,private,5,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,united-states,0
56,self-emp-inc,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,0
49,local-gov,11,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,1
55,private,10,married-civ-spouse,sales,husband,white,male,0,0,56,united-states,0
22,private,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,0
21,private,10,never-married,other-service,own-child,white,female,0,0,40,united-states,0
40,private,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,0
30,private,13,never-married,exec-managerial,own-child,black,male,0,0,40,germany,0
29,state-gov,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,1
19,private,10,never-married,other-service,own-child,black,male,0,0,35,united-states,0
47,private,13,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,1
20,private,10,never-married,adm-clerical,own-child,white,female,0,1719,28,united-states,0
31,private,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,1
35,unknown,9,married-civ-spouse,unknown,husband,white,male,0,0,40,united-states,0
39,private,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,0
28,private,12,never-married,sales,not-in-family,white,female,0,0,60,united-states,0
24,private,9,never-married,other-service,not-in-family,white,female,0,1762,40,united-states,0
38,self-emp-not-inc,9,married-civ-spouse,craft-repair,husband,white,male,4386,0,35,united-states,0
37,private,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,0
46,private,12,divorced,tech-support,not-in-family,black,female,0,0,36,united-states,0
38,federal-gov,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,iran,1
43,self-emp-not-inc,9,married-civ-spouse,craft-repair,husband,white,male,0,0,60,united-states,0
27,private,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,0
20,private,10,never-married,sales,own-child,white,male,0,0,20,united-states,0
49,private,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,1
61,self-emp-inc,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,0
27,private,10,never-married,sales,own-child,white,female,0,0,40,united-states,0
19,private,10,never-married,other-service,own-child,white,male,0,0,30,mexico,0
45,private,11,never-married,prof-specialty,not-in-family,white,female,0,1564,40,united-states,1
70,private,10,never-married,tech-support,other-relative,white,male,0,0,40,united-states,0
31,private,9,never-married,transport-moving,unmarried,black,female,0,0,30,united-states,0
22,private,10,married-civ-spouse,other-service,husband,white,male,0,0,24,united-states,0
36,private,9,widowed,other-service,unmarried,white,female,0,0,24,united-states,0
64,private,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,0
43,unknown,10,divorced,unknown,not-in-family,white,female,0,0,40,united-states,0
47,local-gov,10,divorced,adm-clerical,unmarried,white,female,0,0,38,mexico,0
34,private,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,0
33,private,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,0,0,40,philippines,0
21,private,9,never-married,craft-repair,own-child,white,male,0,0,35,united-states,0
52,unknown,9,divorced,unknown,not-in-family,white,male,0,0,45,united-states,1
48,private,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,0
23,private,13,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,0
71,self-emp-not-inc,10,separated,sales,unmarried,black,male,0,1816,2,united-states,0
29,private,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,0
42,private,13,separated,other-service,other-relative,black,male,0,0,50,united-states,0
68,unknown,2,divorced,unknown,not-in-family,white,female,0,0,20,united-states,0
25,private,9,never-married,other-service,unmarried,white,female,0,0,40,united-states,0
44,self-emp-inc,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,0,0,40,united-states,0
28,private,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,0,0,40,england,0
45,self-emp-not-inc,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,1
36,private,10,divorced,other-service,unmarried,white,female,0,0,40,mexico,0
39,federal-gov,12,never-married,exec-managerial,not-in-family,white,male,0,0,42,united-states,0
46,state-gov,14,widowed,protective-serv,unmarried,white,male,0,0,40,united-states,0
18,private,7,never-married,handlers-cleaners,own-child,white,male,0,0,16,united-states,0
66,local-gov,11,widowed,prof-specialty,not-in-family,white,female,0,0,20,united-states,0
27,private,9,never-married,other-service,not-in-family,white,male,0,1980,40,united-states,0
28,state-gov,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,0
51,private,10,married-civ-spouse,sales,husband,white,male,0,1977,40,united-states,1
27,private,13,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,0
28,state-gov,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,1
27,private,9,married-spouse-absent,sales,unmarried,white,female,0,0,25,united-states,0
21,private,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,0
34,private,9,never-married,handlers-cleaners,not-in-family,black,male,0,0,40,united-states,0
18,private,9,never-married,other-service,own-child,white,male,0,0,12,united-states,0
33,private,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,65,united-states,0
44,local-gov,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,38,united-states,1
43,private,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,0
30,private,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,0
40,private,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,1
37,federal-gov,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,42,united-states,1
34,private,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,0
41,self-emp-not-inc,13,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,0
53,unknown,13,divorced,unknown,not-in-family,white,female,0,0,50,united-states,0
31,private,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,50,united-states,0
58,state-gov,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,1,united-states,1
38,private,10,divorced,machine-op-inspct,not-in-family,black,female,0,0,28,united-states,0
24,private,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,0
41,local-gov,13,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,0
47,private,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,0
41,federal-gov,13,married-civ-spouse,tech-support,husband,white,male,0,0,24,united-states,0
23,private,3,married-civ-spouse,transport-moving,other-relative,white,male,0,0,40,mexico,0
36,private,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,0
40,federal-gov,14,never-married,exec-managerial,not-in-family,white,female,14084,0,55,united-states,1
35,private,14,married-civ-spouse,prof-specialty,other-relative,white,male,7298,0,40,united-states,1
24,self-emp-not-inc,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,0
26,private,14,never-married,prof-specialty,not-in-family,white,female,0,1876,40,united-states,0
19,unknown,9,never-married,unknown,own-child,white,male,0,0,40,italy,0
51,private,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,1
42,local-gov,10,never-married,prof-specialty,not-in-family,white,female,0,1340,40,united-states,0
37,state-gov,9,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,0
18,private,7,never-married,sales,own-child,white,female,0,0,40,united-states,0
36,private,13,married-civ-spouse,other-service,husband,black,male,7298,0,36,united-states,1
35,private,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,0
58,self-emp-inc,9,married-civ-spouse,sales,wife,white,female,15024,0,35,united-states,1
17,private,7,never-married,sales,own-child,white,female,0,0,12,united-states,0
44,local-gov,9,married-civ-spouse,transport-moving,husband,black,male,0,0,40,united-states,0
37,private,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,1
35,private,10,never-married,sales,not-in-family,amer-indian-eskimo,female,0,0,40,united-states,0
60,private,9,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,0
54,self-emp-inc,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,1
37,private,13,never-married,exec-managerial,not-in-family,black,male,0,0,60,united-states,1
50,private,12,divorced,sales,not-in-family,white,female,0,0,40,united-states,0
38,private,13,married-civ-spouse,sales,husband,white,male,0,0,50,poland,0
45,private,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,55,united-states,0
25,private,6,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,0
31,private,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,0
64,unknown,2,divorced,unknown,not-in-family,white,male,0,0,40,united-states,0
90,private,9,never-married,other-service,not-in-family,black,male,0,2206,40,united-states,0
54,private,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,20,united-states,0
53,local-gov,1,never-married,machine-op-inspct,not-in-family,white,female,0,0,35,united-states,0
18,private,9,never-married,sales,own-child,white,female,0,0,40,united-states,0
60,unknown,6,divorced,unknown,not-in-family,amer-indian-eskimo,female,0,0,10,united-states,0
66,self-emp-not-inc,9,married-civ-spouse,farming-fishing,husband,white,male,1409,0,50,united-states,0
75,private,11,widowed,adm-clerical,not-in-family,white,female,0,0,20,columbia,0
65,private,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,0
35,private,7,separated,transport-moving,not-in-family,black,male,3674,0,40,united-states,0
41,private,9,divorced,sales,unmarried,black,female,0,0,38,united-states,0
25,private,10,never-married,adm-clerical,not-in-family,white,male,0,0,42,united-states,0
33,private,10,divorced,craft-repair,other-relative,other,female,0,0,40,united-states,0
28,private,15,never-married,prof-specialty,not-in-family,white,male,0,0,55,united-states,1
59,state-gov,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,0
40,state-gov,10,never-married,adm-clerical,not-in-family,white,female,0,0,38,united-states,0
41,private,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,iran,1
38,local-gov,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,70,united-states,1
23,private,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,0
40,private,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,1
41,self-emp-not-inc,9,married-civ-spouse,other-service,wife,white,female,0,0,20,united-states,0
24,state-gov,12,married-civ-spouse,protective-serv,husband,white,male,0,0,50,united-states,0
20,unknown,10,never-married,unknown,own-child,white,male,0,0,20,united-states,0
38,private,10,divorced,craft-repair,not-in-family,white,male,0,1741,40,united-states,0
56,private,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,35,unknown,0
58,private,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,1
32,private,9,never-married,other-service,not-in-family,white,female,0,0,34,united-states,0
40,private,12,married-civ-spouse,tech-support,husband,white,male,0,1977,60,united-states,1
45,private,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,unknown,0
41,private,15,married-civ-spouse,prof-specialty,wife,white,female,0,0,40,united-states,1
42,private,13,married-civ-spouse,adm-clerical,wife,black,female,0,0,40,united-states,0
59,local-gov,6,widowed,other-service,unmarried,black,female,0,0,30,united-states,0
19,local-gov,10,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,0
58,private,10,never-married,transport-moving,not-in-family,white,male,0,0,20,united-states,0
42,self-emp-not-inc,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,0,0,40,cambodia,1
20,private,9,never-married,other-service,own-child,white,female,0,0,40,united-states,0
32,private,9,separated,other-service,not-in-family,white,female,0,0,30,united-states,0
45,private,11,widowed,exec-managerial,not-in-family,white,female,0,0,45,united-states,0
50,private,4,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,0
36,private,13,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,0
45,private,9,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,0
17,private,7,never-married,other-service,own-child,white,male,0,0,12,united-states,0
59,private,10,married-civ-spouse,sales,husband,white,male,4064,0,40,united-states,0
26,private,7,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,0
37,self-emp-inc,10,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,0,0,75,thailand,1
19,unknown,10,never-married,unknown,own-child,white,male,0,0,24,canada,0
64,private,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,1
33,private,13,never-married,prof-specialty,not-in-family,white,female,0,0,45,united-states,0
33,private,9,married-civ-spouse,craft-repair,wife,white,female,0,0,40,united-states,1
61,private,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,1
17,private,5,never-married,other-service,own-child,white,male,1055,0,24,united-states,0
50,self-emp-not-inc,14,married-civ-spouse,farming-fishing,husband,white,male,2407,0,98,united-states,0
27,local-gov,14,never-married,prof-specialty,own-child,white,male,0,0,35,united-states,0
30,private,9,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,0
43,private,9,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,0
44,private,10,married-civ-spouse,craft-repair,husband,white,male,7298,0,40,united-states,1
35,private,10,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,0
25,private,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,0
24,private,10,married-civ-spouse,machine-op-inspct,wife,white,female,7298,0,48,united-states,1
22,private,13,never-married,prof-specialty,not-in-family,white,female,0,0,15,germany,0
42,local-gov,10,married-civ-spouse,craft-repair,husband,white,male,5178,0,40,united-states,1
34,private,12,divorced,sales,unmarried,black,female,0,0,45,united-states,0
60,private,13,divorced,prof-specialty,not-in-family,white,female,0,0,42,united-states,0
21,private,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,0
57,federal-gov,14,married-civ-spouse,sales,husband,white,male,15024,0,40,united-states,1
41,private,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,1
50,private,10,divorced,other-service,not-in-family,white,male,0,0,45,united-states,0
25,private,13,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,0
50,private,4,married-civ-spouse,craft-repair,husband,white,male,0,0,40,ecuador,0
36,private,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,0
31,private,9,divorced,prof-specialty,not-in-family,white,female,0,0,40,united-states,0
29,local-gov,13,never-married,protective-serv,not-in-family,white,male,0,0,56,united-states,0
21,private,10,never-married,sales,own-child,white,male,0,0,45,united-states,0
27,private,13,never-married,tech-support,unmarried,black,female,0,0,40,united-states,0
65,private,9,married-civ-spouse,transport-moving,husband,white,male,0,0,16,united-states,0
37,self-emp-inc,13,divorced,sales,not-in-family,white,female,0,0,60,united-states,0
39,unknown,14,married-civ-spouse,unknown,wife,asian-pac-islander,female,3464,0,40,unknown,0
24,private,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,0
38,private,9,divorced,sales,not-in-family,white,male,0,0,80,united-states,0
48,private,13,married-civ-spouse,adm-clerical,husband,white,male,7688,0,40,united-states,1
21,private,10,never-married,other-service,not-in-family,asian-pac-islander,female,0,0,25,united-states,0
31,private,9,married-civ-spouse,transport-moving,husband,white,male,0,0,45,united-states,1
55,private,9,married-civ-spouse,sales,husband,white,male,4386,0,40,united-states,1
24,private,10,married-civ-spouse,adm-clerical,wife,asian-pac-islander,female,0,0,40,laos,0
43,private,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,0
26,private,12,never-married,tech-support,not-in-family,white,male,0,0,45,united-states,0
46,private,12,never-married,prof-specialty,not-in-family,white,female,0,0,33,united-states,0
35,private,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,1
41,self-emp-inc,10,married-civ-spouse,farming-fishing,husband,white,male,0,0,54,united-states,1
26,private,13,never-married,sales,not-in-family,white,male,0,0,40,united-states,0
34,private,14,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,7298,0,35,taiwan,1
19,unknown,10,never-married,unknown,own-child,black,female,0,0,25,united-states,0
36,self-emp-not-inc,13,divorced,prof-specialty,not-in-family,black,female,0,0,40,united-states,1
22,private,10,never-married,sales,own-child,white,male,0,0,15,united-states,0
24,private,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,0
77,self-emp-not-inc,10,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,0
22,private,3,married-civ-spouse,machine-op-inspct,other-relative,white,female,0,0,40,mexico,0
29,private,10,never-married,tech-support,not-in-family,white,female,0,0,40,united-states,0
62,private,9,widowed,other-service,not-in-family,white,female,0,0,24,united-states,0
39,self-emp-not-inc,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,0
43,private,10,married-civ-spouse,craft-repair,husband,white,male,0,1485,50,united-states,0
35,private,9,divorced,transport-moving,not-in-family,white,male,0,0,45,united-states,0
29,private,7,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,0
76,self-emp-not-inc,14,married-civ-spouse,craft-repair,husband,white,male,0,0,10,united-states,0
63,self-emp-not-inc,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,45,united-states,0
23,unknown,11,never-married,unknown,own-child,black,female,0,0,15,united-states,0
43,private,10,married-civ-spouse,prof-specialty,wife,white,female,0,1887,50,united-states,1
58,self-emp-not-inc,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,0
66,private,9,never-married,transport-moving,not-in-family,white,male,2050,0,55,united-states,0
41,private,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,0
26,private,13,never-married,adm-clerical,not-in-family,white,male,0,0,40,united-states,0
47,private,11,never-married,other-service,not-in-family,white,male,0,0,40,united-states,0
55,local-gov,6,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,0
53,private,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,0
17,private,3,never-married,other-service,other-relative,white,male,0,0,48,mexico,0
30,private,9,never-married,craft-repair,other-relative,white,male,0,0,40,united-states,0
49,private,14,never-married,prof-specialty,not-in-family,white,male,0,0,60,united-states,0
19,private,9,never-married,sales,unmarried,black,male,0,0,30,haiti,0
45,private,9,married-civ-spouse,other-service,husband,black,male,0,0,40,united-states,0
26,private,12,never-married,sales,not-in-family,white,male,0,0,40,united-states,0
38,private,11,married-civ-spouse,craft-repair,husband,white,male,7298,0,40,united-states,1
36,state-gov,9,married-civ-spouse,protective-serv,husband,white,male,7298,0,40,united-states,1
33,private,9,never-married,farming-fishing,not-in-family,white,male,0,0,20,united-states,0
